,alpha,beta
383,0.5914138472150348,-4.005782095599164
384,0.6379820063640212,-4.3777519625479915
385,0.6709105649036605,-4.609202143009889
386,0.6769107313703945,-4.653634797212643
387,0.5831107013030743,-3.945070999339076
388,0.6307851620554709,-4.1931487560964
389,0.539932170718181,-3.7340560106296126
390,0.6427051990978228,-4.1239973532130545
391,0.6861290539161741,-4.642455745938706
392,0.612614934785222,-3.981106153435224
393,0.5410289402787166,-3.3584461335530733
394,0.5998609815278506,-4.148501459384109
395,0.6980322335831928,-4.74421762399505
396,0.6441897625386094,-4.046944356305988
397,0.5758825299323577,-3.467731548030958
398,0.6074449421848628,-3.8316508005485113
399,0.5494840603662127,-3.510819534796668
400,0.6470806843371995,-4.580566552785895
401,0.5734825100606402,-3.596802414058129
402,0.6745604474098372,-4.443406383154102
403,0.5806092887255612,-3.804380540950935
404,0.6952358713330642,-4.703293973734034
405,0.6250777100639937,-4.225189228357714
406,0.7294544343666838,-4.843627532786379
407,0.5332492875798592,-3.6155363030688417
408,0.6119586117162762,-4.21001978336591
409,0.6804862678557551,-4.2955320436994855
410,0.6007210845532689,-3.760701877054556
411,0.5897361006102074,-3.783598263504505
412,0.63948578068524,-4.344861674576949
413,0.7195944017350351,-4.752905887803236
414,0.5993194627442013,-3.674176545173301
415,0.617536573613239,-4.037276392078775
416,0.5686678775328817,-3.811877650282246
417,0.6239027930492801,-4.161911404977093
418,0.6444802058326978,-4.1981731647287095
419,0.7230055663409515,-4.508356195860852
420,0.699880359148182,-4.309571898543935
421,0.591936134804432,-3.9453830313600933
422,0.555857605421581,-3.4694505095206
423,0.6052992926723104,-3.7911473268299707
424,0.5838004229464919,-4.005374185628468
425,0.635028017606729,-4.254548142786903
426,0.6687502778385842,-4.456729346126496
427,0.6664968140839739,-4.225305490065534
428,0.5968959878745861,-3.7203663200312667
429,0.5218808491283092,-3.1818057760795946
430,0.5608227213457535,-3.7787489257865907
431,0.6853197586434416,-4.6147193819057675
432,0.46556709836581306,-2.7758132533363575
433,0.57681124569984,-3.6280113528064555
434,0.5347473874098343,-3.6079092658785887
435,0.6199789400853057,-3.944489982802129
436,0.6198773753417003,-4.267272591166223
437,0.5932286165290218,-4.145967180385658
438,0.6998400014266583,-4.56984812194204
439,0.6390087333388579,-4.285459802145911
440,0.5888373861277801,-4.047796391394723
441,0.46268948010897687,-2.9235370954396105
442,0.5589452713273925,-3.749132171019351
443,0.6865919286091443,-4.962051648209867
444,0.5735956874569741,-3.693547755853115
445,0.6321515076355749,-3.9788971946031544
446,0.6328472480837145,-3.9953080979141444
447,0.5853671188742747,-3.8036269935839773
448,0.6699239661198982,-4.311103470835164
449,0.6231209833499665,-3.9035014976529356
450,0.723341186367829,-4.912445160572627
451,0.6374420481141002,-4.212875264608304
452,0.6435669065578343,-4.38009592888278
453,0.6582272917817749,-4.473654572544772
454,0.6052684927649901,-3.9062580455739213
455,0.6329789778110557,-4.301669831918894
456,0.6029380347820129,-3.7742114807734066
457,0.5513503870993232,-3.5133725625165253
458,0.6403839998869748,-4.3728948780198085
459,0.6097051305489887,-4.140970951663308
460,0.5552648008109712,-3.7093401558885275
461,0.7080225175785732,-4.805916658621012
462,0.6564730099957373,-4.256443101561868
